Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2003-01-05,35.398908617006,35.87755347191,35.119908749361,35.797512526274,25826.004940836
2003-01-12,35.717700269054,35.797512526274,34.480038561104,34.878871158788,15746.985444466
2003-01-19,35.000304707739,35.717700269054,34.799058901568,35.398908617006,9533.0101631986
2003-01-26,35.398908617006,35.398908617006,34.27902144335,34.480038561104,7382.0010932634
2003-02-02,33.720793019642,33.999792887288,32.118601976424,32.200243740973,7866.0047357098
2003-02-09,32.200243740973,34.717417137019,32.118601976424,34.11939692891,7699.0039360266
2003-02-16,33.603018485349,35.398908617006,33.39994317185,35.398908617006,6905.9990347279
2003-02-23,35.277475068056,35.277475068056,34.27902144335,35.119908749361,19874.02753907
2003-03-02,35.000304707739,35.277475068056,33.999792887288,35.277475068056,9689.9918630801
2003-03-09,35.000304707739,35.398908617006,34.201267381875,35.000304707739,6578.0183770406
2003-03-16,34.27902144335,35.598324915848,34.27902144335,35.516683151299,11781.997811631
2003-03-23,35.516683151299,37.601178064079,34.799058901568,37.601178064079,45811.011656883
2003-03-30,38.198969583772,39.201310911552,36.281645903164,36.281645903164,48318.020097357
2003-04-06,36.481062202006,37.517478103785,36.12225007714,37.00132834864,10897.993988636
2003-04-13,37.280328216286,38.198969583772,36.600666243628,37.198457763321,20824.01414025
2003-04-20,37.401533076821,37.401533076821,35.598324915848,36.600666243628,43932.994084371
2003-04-27,36.481062202006,36.72027028525,35.398908617006,36.72027028525,21755.026610262
2003-05-04,36.72027028525,37.401533076821,36.600666243628,37.00132834864,40648.999713416
2003-05-11,37.280328216286,40.002635121577,37.280328216286,39.520559940431,283630.00093995
2003-05-18,40.197935028929,40.478993092319,38.597802181456,39.520559940431,50566.976139796
2003-05-25,39.600143509235,43.598074399549,38.876802049101,42.882279657146,227570.98834478
2003-06-01,42.882279657146,43.119658233061,41.39969265555,42.40203398333,18566.982766583
2003-06-08,42.40203398333,43.20129999761,41.802184267891,42.202846372904,6521.9756836731
2003-06-15,42.202846372904,42.202846372904,40.120180967454,40.99537153588,9296.0020888791
2003-06-22,40.718201175563,43.000054191439,40.602484837015,42.001600566733,16412.981662638
2003-06-29,42.001600566733,43.277453240172,41.118863280576,42.599620774843,14362.00556075
2003-07-06,42.599620774843,45.598869352034,42.481617552134,45.522944797888,74352.988061334
2003-07-13,45.598869352034,52.277485855907,45.522944797888,51.998485988262,94320.010967327
2003-07-20,52.402578419516,56.195604489001,51.603541093652,54.120714489698,49448.998417818
2003-07-27,54.120714489698,58.99017693378,54.120714489698,56.285021659697,77659.959989244
2003-08-03,56.195604489001,57.008134431415,53.526581984662,53.999280940747,15392.002733371
2003-08-10,54.794659251954,62.215369666081,52.201561301761,61.002406307071,74625.015575965
2003-08-17,63.003429947972,65.596299209749,61.192217692436,65.004224900458,127284.9774501
2003-08-24,65.402828809726,67.265038582053,62.796238242983,66.591322508213,73822.007377861
2003-08-31,66.410658659492,70.712516454806,65.719790954444,69.791816891575,64716.020519284
2003-09-07,70.995404025526,71.51567017216,65.085866665007,66.997473135212,35690.978116848
2003-09-14,66.070827673163,68.482118332553,66.070827673163,67.531003209981,14170.041294212
2003-09-21,67.531003209981,68.721097727381,65.004224900458,66.591322508213,17357.985052246
2003-09-28,65.514886133616,66.591322508213,56.11762173911,63.523238717775,9016.009863994
2003-10-05,62.492540026398,63.003429947972,58.122533083085,61.002406307071,26376.007164465
2003-10-12,61.002406307071,68.482118332553,61.002406307071,65.004224900458,46466.983507589
2003-10-19,65.004224900458,66.725791296882,63.874504124909,65.209358409702,8869.01565792
2003-10-26,65.719790954444,65.996961314761,61.995142721374,63.003429947972,46949.011775469
2003-11-02,61.596538812107,64.48007105075,60.86748014157,63.874504124909,35714.998671576
2003-11-09,63.997995869605,65.924924463689,61.596538812107,65.924924463689,24492.995845048
2003-11-16,64.48007105075,65.004224900458,61.995142721374,63.523238717775,10585.974357446
2003-11-23,61.995142721374,62.492540026398,57.999270026806,59.525536515877,37690.009769136
2003-11-30,58.479287012206,60.284782057339,56.884871375136,59.202857160756,16748.010456779
2003-12-07,59.525536515877,63.122805301178,59.124874410865,61.801443632935,33614.980603784
2003-12-14,61.801443632935,65.996961314761,61.801443632935,65.596299209749,40523.992743184
2003-12-21,66.997473135212,66.997473135212,64.590298867311,66.410658659492,21156.014026722
2003-12-28,67.077056704016,67.077056704016,65.514886133616,66.997473135212,11099.993157971
2004-01-04,67.59732285065,68.482118332553,65.996961314761,68.482118332553,19883.0036411
2004-01-11,68.482118332553,71.51567017216,68.482118332553,70.406988730892,50668.004696624
2004-01-18,70.406988730892,71.809763475268,69.203401596942,70.712516454806,10591.968960797
2004-01-25,69.203401596942,71.394007934793,69.081739359575,69.603835013539,16836.981327253
2004-02-01,71.194820324367,76.992300360996,70.004497118551,72.734122053157,54262.03278887
2004-02-08,72.734122053157,82.725518952699,72.734122053157,80.998006657457,64485.001780649
2004-02-15,81.99074307176,89.912738493985,80.998006657457,83.917671665844,30548.983302321
2004-02-22,82.998801609942,84.407522253137,79.086400187251,80.998006657457,164219.98325693
2004-02-29,81.793384968663,82.998801609942,78.002188406507,82.922877055796,17144.965926662
2004-03-07,82.922877055796,82.998801609942,78.002188406507,78.186511269886,13393.97193753
2004-03-14,80.003212047408,80.003212047408,75.99384673629,77.51256650763,15653.963739214
2004-03-21,76.992300360996,79.086400187251,76.593696451728,78.002188406507,14453.015017777
2004-03-28,77.603813185655,79.086400187251,75.916092674815,76.489185845569,20708.97886083
