Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2003-01-05,18.010885667685,18.134604976524,17.537699880133,18.134604976524,6271.6541927212
2003-01-12,18.010885667685,18.96711699179,17.895054158048,18.851244399865,16115.658748323
2003-01-19,18.609742172732,20.640152068387,18.609742172732,19.919383875151,45891.730225555
2003-01-26,19.090815759486,20.28267454361,19.090815759486,20.158934693627,11392.84472106
2003-02-02,20.041028528471,20.993459740981,18.96711699179,20.757647410668,12638.751694444
2003-02-09,20.757647410668,23.859976352059,20.757647410668,22.666330488428,9287.9479666544
2003-02-16,22.308914587082,22.666330488428,21.594082784392,22.069404850894,4540.6364838792
2003-02-23,22.069404850894,24.572754040375,22.069404850894,24.215338139029,32586.81071801
2003-03-02,24.694357611407,25.888414297913,24.099691499686,24.45299917228,16665.145333609
2003-03-09,23.74227559834,24.45299917228,23.74227559834,24.099691499686,2725.8894260514
2003-03-16,23.859976352059,24.215338139029,23.506668679465,23.62046661587,5755.7306493949
2003-03-23,23.62046661587,23.976033814278,23.141447143492,23.976033814278,7148.8770071582
2003-03-30,23.976033814278,24.215338139029,23.74227559834,24.215338139029,4185.1941927763
2003-04-06,24.215338139029,25.289434546003,24.099691499686,25.049924809814,7815.4013320854
2003-04-13,25.049924809814,29.228198861118,24.45299917228,28.866880142459,17063.521834684
2003-04-20,28.866880142459,29.823275795714,28.156156568519,29.228198861118,12699.409635224
2003-04-27,29.228198861118,32.328473688133,28.631273223583,30.777206511719,29463.665256623
2003-05-04,30.537902186967,34.596421370176,30.537902186967,34.237156765893,13334.255337846
2003-05-11,34.119045189299,34.356911633987,32.448228556228,33.87953545311,13074.205425485
2003-05-18,33.520476260264,34.237156765893,32.448228556228,33.164909061857,10717.815042556
2003-05-25,32.570037538698,33.520476260264,32.570037538698,33.406472912421,12539.437685611
2003-06-01,32.689586995355,33.164909061857,31.376186263629,32.328473688133,8280.2418236883
2003-06-08,31.376186263629,32.094920883633,29.228198861118,30.302089856655,21162.491095688
2003-06-15,31.016716247908,32.448228556228,30.537902186967,32.328473688133,16336.084917673
2003-06-22,32.328473688133,37.578790032035,32.328473688133,37.459240575378,27558.975357975
2003-06-29,37.696696197192,46.172999167893,37.696696197192,44.262467387195,49326.517953635
2003-07-06,44.378319437976,44.378319437976,42.350086903559,43.781599211879,8789.8500146577
2003-07-13,43.781599211879,44.378319437976,39.249606665106,41.042437692085,51937.457780743
2003-07-20,40.798819727145,40.798819727145,34.596421370176,35.4328567439,20413.408817777
2003-07-27,35.191292893335,41.870862019744,35.191292893335,40.086247450267,19186.34604094
2003-08-03,40.561569516769,40.561569516769,38.059863618789,39.010302340355,13118.871264329
2003-08-10,39.489116401295,39.489116401295,37.219525427752,38.059863618789,15412.108123693
2003-08-17,38.059863618789,38.059863618789,37.101619262595,37.339280295846,15725.685740302
2003-08-24,37.578790032035,42.94310972378,37.339280295846,42.112425870308,59196.191360749
2003-08-31,42.228277921089,43.901148668536,41.274141793647,41.996573819527,22533.482789943
2003-09-07,41.996573819527,44.023163062444,41.393896661742,43.781599211879,25998.981465371
2003-09-14,44.618034585603,49.986051683224,44.618034585603,46.648115822957,34926.49597535
2003-09-21,46.047492779547,47.36274221421,44.023163062444,46.760065056425,11254.467202085
2003-09-28,46.047492779547,46.881874038895,43.188370980221,45.214549400262,12478.1685817
2003-10-05,45.098902760918,45.098902760918,41.515705644212,43.541884064253,10163.846594307
2003-10-12,43.541884064253,48.552690671966,42.469841771654,45.80777763192,16333.385613843
2003-10-19,45.214549400262,46.524252726112,43.064713294813,44.262467387195,21136.058290261
2003-10-26,43.781599211879,43.901148668536,40.208056432737,41.393896661742,28635.742934776
2003-11-02,41.393896661742,44.855490207416,41.393896661742,44.023163062444,15702.054099226
2003-11-09,43.901148668536,44.262467387195,41.870862019744,43.306277145377,11267.19976732
2003-11-16,43.306277145377,43.306277145377,42.112425870308,42.112425870308,8005.880508002
2003-11-23,42.112425870308,42.112425870308,37.219525427752,39.609076680827,33885.685162772
2003-11-30,40.561569516769,42.112425870308,38.293621834726,41.515705644212,11335.44631698
2003-12-07,41.515705644212,42.469841771654,40.561569516769,41.870862019744,6188.5360068663
2003-12-14,41.156235628491,42.112425870308,41.042437692085,41.63340639793,22521.463248361
2003-12-21,41.749053037274,42.112425870308,40.916725892302,41.156235628491,14987.095096145
2003-12-28,41.042437692085,42.707297393467,41.042437692085,42.591650754124,11456.20196567
2004-01-04,42.94310972378,43.422129196158,41.393896661742,43.422129196158,16406.368677771
2004-01-11,43.781599211879,44.496225603132,42.707297393467,42.707297393467,6627.2492746066
2004-01-18,42.825203558624,46.524252726112,41.870862019744,45.098902760918,14488.385981017
2004-01-25,46.524252726112,47.841967098026,44.023163062444,45.929381202953,33917.51657586
2004-02-01,46.172999167893,50.940187810666,44.618034585603,50.816530125258,35822.766707378
2004-02-08,51.894529349546,56.068900583535,50.105806551318,55.953048532754,28754.868815116
2004-02-15,56.903281842883,58.935417194613,53.206286789771,58.101035935266,24044.532701783
2004-02-22,58.101035935266,70.144719341982,57.258643629853,70.0272239997,19475.782713865
2004-02-29,68.114843516065,74.083483657096,67.158447862809,70.861605259048,38370.553010922
2004-03-07,70.743699093892,70.861605259048,68.599614508694,69.551901933198,13339.603015245
2004-03-14,68.599614508694,75.63475083351,68.114843516065,74.441104969879,36343.375834711
2004-03-21,74.441104969879,74.441104969879,68.114843516065,70.0272239997,10988.051007105
2004-03-28,69.907263720168,70.0272239997,68.114843516065,69.070828346445,7548.9851371058
