Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2003-01-05,13.652976497675,14.044819876428,13.301182648933,13.896453182421,1489253.4895922
2003-01-12,14.003914325927,14.301870600355,13.652976497675,14.098993744506,2988803.3765946
2003-01-19,14.248277603323,14.450818165408,13.85551705976,13.94974045785,2160912.2919254
2003-01-26,14.003914325927,14.544705269735,13.85551705976,13.85551705976,2156894.682696
2003-02-02,13.599414072803,13.693637470893,12.950550542283,13.599414072803,1384741.6422006
2003-02-09,13.599414072803,13.85551705976,12.544277103861,12.692949519471,1639283.0696846
2003-02-16,12.692949519471,13.152815954925,12.692949519471,13.004388116597,1834617.7494565
2003-02-23,13.355631666453,13.355631666453,12.544277103861,13.004388116597,1617891.7121908
2003-03-02,12.950550542283,13.152815954925,12.098229284869,12.503952424406,927432.21059792
2003-03-09,12.450359427374,12.544277103861,11.354867206816,11.598313319402,1481648.9718862
2003-03-16,11.801190175251,12.544277103861,11.598313319402,12.544277103861,2121748.4143347
2003-03-23,12.395879837693,13.098917236291,12.152403152946,13.098917236291,1786691.0816309
2003-03-30,13.044743368213,13.207264972446,12.206271299421,12.395879837693,1812360.914425
2003-04-06,12.206271299421,12.855440551544,11.949862590861,12.747398536992,2605155.3224599
2003-04-13,13.004388116597,13.207264972446,12.598420399778,12.692949519471,1349375.2680919
2003-04-20,12.692949519471,12.692949519471,11.706385906115,11.895413573341,1671183.1179407
2003-04-27,11.949862590861,12.206271299421,11.354867206816,11.395497607874,1155405.7194911
2003-05-04,11.449365754349,11.801190175251,11.354867206816,11.801190175251,1437028.6456431
2003-05-11,11.949862590861,12.598420399778,11.855333471168,12.503952424406,3085233.1311553
2003-05-18,12.544277103861,13.355631666453,12.450359427374,13.207264972446,2604220.8920415
2003-05-25,13.152815954925,13.396262067512,12.544277103861,13.247283930298,2065256.983513
2003-06-01,13.098917236291,13.693637470893,12.855440551544,13.599414072803,1931673.8543232
2003-06-08,13.802229784331,14.003914325927,13.355631666453,13.896453182421,1601028.4869795
2003-06-15,13.85551705976,14.098993744506,13.396262067512,14.003914325927,1135541.1757855
2003-06-22,13.896453182421,14.801725421501,13.802229784331,14.450818165408,2077122.3137125
2003-06-29,14.396338575727,14.747887847186,14.098993744506,14.356013896272,1545498.6601254
2003-07-06,14.356013896272,14.544705269735,13.599414072803,13.94974045785,2694907.5170072
2003-07-13,14.098993744506,14.653358727493,13.747475045207,14.396338575727,3997685.9228309
2003-07-20,14.504992033486,15.694065636767,14.356013896272,15.54569894276,3078209.4480606
2003-07-27,15.599903382998,16.004373063962,15.04550782785,15.856892962603,2110304.2741458
2003-08-03,15.95078006693,17.748728815039,15.95078006693,17.00567245859,2832265.3918316
2003-08-10,16.897324722434,17.154039152597,16.099758204144,16.748652306824,1782882.0293907
2003-08-17,16.748652306824,18.397867495002,16.748652306824,18.248919929949,3258576.2576685
2003-08-24,18.302512926981,21.493237582548,17.748728815039,20.506398819749,4382598.2263358
2003-08-31,20.398356805197,21.493237582548,19.344106428903,20.600622217839,6935172.731354
2003-09-07,21.006620506819,22.101776433613,20.506398819749,20.80374365097,4999978.20408
2003-09-14,21.006620506819,21.006620506819,18.803009763493,19.344106428903,5088679.1219477
2003-09-21,19.654689005541,20.696007358021,19.303506600006,20.398356805197,1995921.2953868
2003-09-28,20.101011973976,20.696007358021,19.695319406599,20.303858257664,1184906.6830341
2003-10-05,20.600622217839,20.696007358021,19.50601658993,20.506398819749,3020756.4132714
2003-10-12,20.600622217839,24.101960022205,20.398356805197,23.697184619638,3883540.0332875
2003-10-19,24.305112027496,27.398708929744,23.304729797677,25.696726192862,4560393.399194
2003-10-26,25.493604759731,25.899297327108,23.601768907295,23.804920912587,1926092.7470145
2003-11-02,23.804920912587,25.994407317847,23.196382061522,25.899297327108,3989576.656451
2003-11-09,25.994407317847,26.901177592782,24.196764291341,25.303445922574,2784623.7066019
2003-11-16,25.303445922574,25.899297327108,24.602456858717,24.69695540625,2137114.7166619
2003-11-23,24.305112027496,24.305112027496,20.696007358021,22.696190946612,3823925.0030008
2003-11-30,22.99411664888,23.39919777305,21.898655000482,22.601967548522,1894371.0251741
2003-12-07,22.99411664888,25.103503994115,22.99411664888,24.399610575029,2198141.752492
2003-12-14,24.399610575029,26.102449332399,24.196764291341,25.493604759731,3261552.1009605
2003-12-21,25.601952495887,26.198415343627,25.303445922574,25.899297327108,2253958.5999581
2003-12-28,25.804798779575,26.102449332399,25.493604759731,25.994407317847,498694.06749077
2004-01-04,25.899297327108,27.997800983271,25.696726192862,27.997800983271,836456.8666734
2004-01-11,28.100859735692,29.996822829771,27.997800983271,28.495362892394,3678565.1973153
2004-01-18,28.398204566914,30.197009335512,28.100859735692,28.198018061173,2340600.102476
2004-01-25,28.306946668374,29.899664504291,28.306946668374,29.201946661588,2237779.4688445
2004-02-01,28.998794656296,29.996822829771,27.492626606231,29.490425566318,2854284.1186394
2004-02-08,29.60528517262,31.792906676101,29.60528517262,30.794419920222,4151660.4229089
2004-02-15,31.498191050667,32.993781133264,31.292134690146,32.104742711312,4169668.3338746
2004-02-22,32.104742711312,33.40039086545,31.901743566822,32.201962181112,3384216.5584665
2004-02-29,32.296124434882,32.296124434882,29.996822829771,31.901743566822,3888598.0497767
2004-03-07,32.399152615142,32.993781133264,31.404028796898,31.792906676101,3542442.0206265
2004-03-14,31.698438700729,32.201962181112,29.899664504291,32.104742711312,3413742.317873
2004-03-21,31.792906676101,31.995905820591,29.304974841849,29.899664504291,3250987.3647532
